Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2007-09-06, Saints, 106, 26, 187, 41, 28, 4, 20, 1, 2, 18, 15, 6, 1, 1, 1905, 10, Colts, 164, 29, 288, 30, 18, 6, 30, 1, 0, 20, 11, 4, 0, 0, 1695, 41
2007-09-09, Broncos, 171, 32, 299, 39, 23, 3, 31, 0, 1, 23, 13, 4, 2, 2, 1992, 15, Bills, 112, 26, 72, 21, 14, 5, 40, 0, 1, 13, 11, 3, 1, 1, 1608, 14
2007-09-09, Bears, 80, 26, 122, 23, 12, 4, 38, 3, 1, 11, 11, 3, 1, 0, 1377, 3, Chargers, 77, 36, 186, 32, 23, 3, 20, 1, 1, 19, 17, 8, 1, 1, 2223, 14
2007-09-09, Patriots, 134, 37, 297, 28, 22, 4, 16, 0, 0, 28, 9, 6, 1, 0, 1989, 38, Jets, 60, 19, 167, 31, 21, 2, 20, 0, 0, 17, 11, 4, 1, 0, 1611, 14
2007-09-09, Falcons, 96, 28, 169, 32, 23, 6, 40, 0, 2, 17, 16, 8, 0, 0, 1981, 3, Vikings, 139, 27, 163, 23, 13, 4, 35, 0, 1, 15, 9, 3, 0, 0, 1619, 24
2007-09-09, Chiefs, 72, 17, 147, 33, 22, 5, 40, 2, 2, 14, 11, 3, 1, 1, 1630, 3, Texans, 109, 31, 206, 22, 16, 6, 45, 1, 1, 13, 14, 9, 0, 0, 1970, 20
2007-09-09, Eagles, 103, 29, 180, 33, 15, 8, 76, 2, 1, 13, 18, 8, 0, 0, 1908, 13, Packers, 46, 17, 169, 42, 23, 6, 35, 1, 1, 10, 18, 6, 0, 0, 1692, 16
2007-09-09, Panthers, 186, 38, 201, 27, 18, 7, 75, 2, 0, 21, 12, 4, 0, 0, 2047, 27, Rams, 76, 21, 162, 42, 22, 8, 82, 2, 0, 16, 16, 7, 1, 0, 1553, 13
2007-09-09, Lions, 108, 21, 284, 36, 27, 6, 35, 0, 2, 21, 13, 6, 0, 0, 1614, 36, Raiders, 92, 23, 283, 40, 30, 8, 50, 1, 2, 24, 13, 7, 0, 0, 1986, 21
2007-09-09, Dolphins, 66, 20, 207, 38, 24, 8, 61, 1, 0, 17, 13, 4, 0, 0, 1833, 13, Redskins, 191, 41, 209, 21, 12, 7, 65, 0, 2, 19, 14, 7, 0, 0, 2103, 16
2007-09-09, Giants, 124, 22, 314, 44, 29, 4, 45, 0, 1, 22, 14, 7, 2, 0, 1923, 35, Cowboys, 142, 30, 336, 24, 15, 7, 55, 1, 1, 21, 11, 6, 2, 2, 1677, 45
2007-09-09, Titans, 282, 49, 68, 18, 11, 4, 29, 0, 1, 22, 12, 6, 1, 0, 2215, 13, Jaguars, 72, 18, 200, 30, 17, 4, 45, 1, 0, 13, 12, 5, 1, 0, 1385, 10
2007-09-09, Steelers, 206, 42, 159, 23, 12, 6, 45, 1, 0, 17, 17, 7, 2, 1, 2176, 34, Browns, 46, 16, 175, 38, 17, 6, 51, 3, 2, 13, 14, 6, 0, 0, 1424, 7
2007-09-09, Buccaneers, 90, 23, 194, 31, 20, 5, 37, 2, 0, 13, 14, 5, 0, 0, 1775, 6, Seahawks, 139, 34, 204, 24, 17, 3, 35, 1, 0, 17, 12, 4, 0, 0, 1825, 20
2007-09-10, Cardinals, 161, 38, 100, 28, 14, 10, 71, 0, 2, 20, 15, 6, 0, 0, 2072, 17, 49ers, 92, 22, 102, 31, 15, 6, 40, 1, 0, 16, 12, 3, 1, 1, 1528, 20
2007-09-10, Ravens, 107, 25, 207, 40, 22, 10, 86, 4, 2, 20, 13, 2, 1, 1, 1941, 20, Bengals, 55, 23, 181, 32, 20, 5, 41, 2, 0, 13, 13, 3, 0, 0, 1659, 27
2007-09-16, Vikings, 123, 33, 190, 37, 20, 12, 96, 1, 4, 17, 18, 8, 0, 0, 1955, 17, Lions, 56, 21, 359, 56, 35, 7, 44, 2, 3, 29, 13, 4, 0, 0, 2010, 20
2007-09-16, Colts, 81, 22, 300, 42, 28, 5, 44, 0, 1, 23, 12, 5, 0, 0, 1782, 22, Titans, 141, 34, 172, 27, 17, 4, 40, 2, 0, 19, 14, 7, 2, 0, 1818, 20
2007-09-16, Seahawks, 92, 24, 278, 36, 22, 4, 25, 1, 0, 18, 13, 4, 1, 1, 1674, 20, Cardinals, 132, 26, 299, 37, 23, 7, 55, 0, 1, 20, 12, 6, 0, 0, 1926, 23
2007-09-16, Raiders, 200, 35, 53, 17, 8, 10, 70, 0, 3, 11, 16, 6, 1, 1, 1830, 20, Broncos, 181, 38, 260, 33, 23, 6, 34, 0, 2, 26, 17, 9, 1, 1, 2322, 23
2007-09-16, Cowboys, 166, 36, 186, 29, 14, 11, 101, 0, 0, 19, 14, 5, 2, 1, 2103, 37, Dolphins, 61, 21, 273, 40, 23, 7, 57, 1, 4, 21, 12, 6, 0, 0, 1497, 20
2007-09-16, Bills, 102, 22, 121, 25, 15, 5, 55, 0, 0, 10, 13, 5, 3, 0, 1473, 3, Steelers, 184, 33, 236, 34, 21, 2, 9, 0, 1, 24, 16, 11, 0, 0, 2127, 26
2007-09-16, Packers, 83, 29, 285, 38, 29, 8, 63, 0, 1, 25, 11, 6, 0, 0, 2066, 35, Giants, 94, 16, 231, 40, 20, 6, 71, 1, 1, 20, 12, 5, 1, 0, 1534, 13
2007-09-16, 49ers, 89, 28, 97, 17, 11, 3, 21, 2, 0, 8, 13, 3, 1, 1, 1691, 17, Rams, 61, 23, 331, 41, 24, 4, 34, 3, 0, 20, 14, 5, 1, 0, 1909, 16
2007-09-16, Texans, 119, 36, 227, 28, 20, 5, 40, 1, 0, 19, 14, 6, 1, 1, 2088, 34, Panthers, 66, 18, 287, 41, 27, 5, 35, 2, 1, 17, 13, 7, 0, 0, 1512, 21
2007-09-16, Jets, 69, 27, 235, 37, 19, 2, 10, 0, 2, 18, 18, 8, 1, 1, 1735, 13, Ravens, 118, 34, 185, 35, 23, 11, 100, 0, 0, 17, 18, 8, 1, 0, 1865, 20
2007-09-16, Falcons, 82, 25, 166, 20, 12, 5, 44, 0, 0, 13, 14, 7, 0, 0, 1545, 7, Jaguars, 113, 34, 251, 25, 17, 11, 91, 0, 0, 17, 14, 5, 3, 1, 2055, 13
2007-09-16, Bengals, 137, 26, 394, 50, 33, 3, 15, 1, 2, 33, 11, 5, 1, 1, 1880, 45, Browns, 226, 30, 328, 33, 20, 6, 45, 0, 1, 23, 13, 7, 1, 0, 1720, 51
2007-09-16, Saints, 99, 26, 244, 44, 26, 3, 35, 1, 1, 19, 18, 8, 4, 2, 1988, 14, Buccaneers, 87, 32, 243, 16, 10, 2, 10, 0, 0, 14, 11, 5, 0, 0, 1612, 31
2007-09-16, Chiefs, 70, 24, 211, 32, 23, 9, 60, 1, 1, 13, 16, 5, 0, 0, 1727, 10, Bears, 107, 29, 132, 34, 20, 5, 55, 1, 2, 18, 13, 3, 0, 0, 1873, 20
2007-09-16, Chargers, 52, 20, 149, 30, 19, 7, 75, 1, 2, 14, 11, 4, 1, 1, 1454, 14, Patriots, 144, 32, 263, 31, 25, 6, 67, 1, 1, 25, 8, 3, 1, 1, 2146, 38
2007-09-17, Redskins, 130, 33, 207, 29, 16, 5, 25, 0, 1, 19, 15, 8, 0, 0, 1804, 20, Eagles, 114, 20, 226, 46, 28, 2, 15, 0, 0, 18, 16, 4, 3, 2, 1796, 12
2007-09-23, Chargers, 73, 28, 291, 36, 27, 8, 70, 0, 1, 25, 11, 5, 0, 0, 1935, 24, Packers, 42, 13, 363, 45, 28, 5, 38, 0, 0, 20, 11, 5, 2, 0, 1665, 31
2007-09-23, 49ers, 91, 22, 198, 35, 17, 2, 10, 0, 1, 17, 15, 5, 1, 0, 1720, 16, Steelers, 205, 33, 145, 20, 13, 3, 13, 1, 0, 19, 12, 7, 0, 0, 1880, 37
2007-09-23, Cowboys, 131, 25, 300, 35, 22, 12, 100, 0, 1, 21, 13, 4, 1, 1, 2121, 34, Bears, 75, 23, 164, 33, 15, 5, 28, 1, 3, 16, 12, 5, 2, 0, 1479, 10
